player,team,position,practice_wed,practice_thu,practice_fri,trend,injury,game_status,full_participation_final
Cody Simon,ARI,LB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Cole Bishop,BUF,S,LIMITED,LIMITED,,LIMITED_STEADY,"Knee, Groin",Questionable,False
Cole Van Lanen,JAX,T,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,,,False
Cooper DeJean,PHI,CB,DNP,LIMITED,,IMPROVING,,,False
Cooper Kupp,SEA,WR,LIMITED,FULL,,ARRIVING,,,True
Cooper Rush,ATL,QB,FULL,FULL,,FULL_ALL_WEEK,,,True
D'Andre Swift,CHI,RB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
D'Angelo Ponds,NYJ,CB,LIMITED,FULL,LIMITED,MIXED,Calf,Doubtful,False
D.J. Reed,DET,CB,LIMITED,LIMITED,,LIMITED_STEADY,Foot,Questionable,False
DJ Giddens,IND,RB,,DNP,,DNP_SINGLE,,,False
DJ Turner II,CIN,CB,,LIMITED,LIMITED,LIMITED_STEADY,,,False
Da'Shawn Hand,ATL,DT,,LIMITED,FULL,ARRIVING,,,True
Dadrion Taylor-Demerson,ARI,S,LIMITED,LIMITED,DNP,DECLINING,Ribs,Out,False
Dalton Schultz,HOU,TE,DNP,DNP,,DNP_ALL_WEEK,,,False
Dalvin Tomlinson,LAC,DT,LIMITED,DNP,,DECLINING,,,False
Dametrious Crownover,NE,T,DNP,DNP,,DNP_ALL_WEEK,,,False
Dante Trader Jr.,MIA,S,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Darien Porter,LV,CB,DNP,DNP,,DNP_ALL_WEEK,,,False
Darnell Washington,PIT,TE,DNP,DNP,,DNP_ALL_WEEK,,,False
Darnell Wright,CHI,T,DNP,LIMITED,,IMPROVING,,,False
Daron Payne,WAS,DT,LIMITED,FULL,LIMITED,MIXED,,,False
Darren Waller,CAR,TE,DNP,FULL,,ARRIVING,,,True
Davante Adams,LAR,WR,,DNP,,DNP_SINGLE,,,False
David Onyemata,NYJ,DT,DNP,FULL,,ARRIVING,,,True
Davon Godchaux,NO,DT,,DNP,FULL,ARRIVING,,,True
Dawand Jones,CLE,T,LIMITED,FULL,,ARRIVING,,,True
Dayo Odeyingbo,CHI,DE,LIMITED,LIMITED,,LIMITED_STEADY,,,False
De'Zhaun Stribling,SF,WR,DNP,DNP,,DNP_ALL_WEEK,,,False
DeForest Buckner,IND,DT,FULL,FULL,DNP,DECLINING,,,False
DeMarvion Overshown,DAL,LB,DNP,DNP,,DNP_ALL_WEEK,,,False
Deane Leonard,LAC,CB,LIMITED,LIMITED,DNP,DECLINING,Abdomen,Out,False
Deonte Banks,NYG,CB,,LIMITED,,LIMITED_SINGLE,,,False
Derius Davis,LAC,WR,FULL,FULL,,FULL_ALL_WEEK,,,True
Derrick Moore,DET,DE,LIMITED,LIMITED,FULL,ARRIVING,,,True
Devonte Wyatt,GB,DT,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,,,False
Devontez Walker,BAL,WR,FULL,FULL,LIMITED,DECLINING,Groin,Questionable,False
Dexter Lawrence,CIN,DT,,,DNP,DNP_SINGLE,,,False
Dorance Armstrong,WAS,LB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Dre Greenlaw,SF,LB,DNP,FULL,FULL,ARRIVING,,,True
Dre'Mont Jones,NE,LB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Ed Ingram,HOU,G,,LIMITED,,LIMITED_SINGLE,,,False
Eddy Pineiro,SF,K,DNP,DNP,,DNP_ALL_WEEK,,,False
Elgton Jenkins,CLE,C,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Eli Stowers,PHI,TE,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Hamstring,Questionable,False
Elijah Molden,LAC,S,DNP,DNP,,DNP_ALL_WEEK,,,False
Emanuel Wilson,SEA,RB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Emeka Egbuka,TB,WR,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Ennis Rakestraw Jr.,DET,CB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Foye Oluokun,JAX,LB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Francis Mauigoa,NYG,T,,LIMITED,,LIMITED_SINGLE,,,False
Frankie Luvu,WAS,LB,DNP,DNP,,DNP_ALL_WEEK,,,False
Garrett Williams,ARI,CB,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Achilles,Out,False
George Kittle,SF,TE,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,,,False
Gracen Halton,SF,DT,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Grady Jarrett,CHI,DT,DNP,FULL,FULL,ARRIVING,,,True
Grant Stuard,LAR,LB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Greg Newsome II,NYG,CB,,LIMITED,,LIMITED_SINGLE,,,False
Grover Stewart,IND,DT,,DNP,FULL,ARRIVING,,,True
Harrison Smith,MIN,S,,,LIMITED,LIMITED_SINGLE,,,False
Isaac Seumalo,ARI,G,DNP,LIMITED,,IMPROVING,,,False
Isaiah Adams,ARI,G,LIMITED,LIMITED,DNP,DECLINING,Knee,Out,False
Isaiah Davis,NYJ,RB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Isaiah Stalbird,NO,LB,DNP,DNP,,DNP_ALL_WEEK,,,False
Ja'Marr Chase,CIN,WR,FULL,FULL,DNP,DECLINING,,,False
Jack Cochrane,KC,LB,,FULL,FULL,FULL_ALL_WEEK,,,True
Jack Gibbens,ARI,LB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Jacob Hummel,HOU,LB,DNP,DNP,,DNP_ALL_WEEK,,,False
Jacob Parrish,TB,CB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Jacob Thomas,MIN,S,LIMITED,LIMITED,FULL,ARRIVING,,,True
Jacory Croskey-Merritt,WAS,RB,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,,,False
Jadeveon Clowney,HOU,DE,DNP,DNP,,DNP_ALL_WEEK,,,False
Jake Matthews,ATL,T,,,DNP,DNP_SINGLE,,,False
Jakobe Thomas,MIN,S,DNP,LIMITED,FULL,ARRIVING,,,True
Jakobi Meyers,JAX,WR,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,,,False
Jalen Carter,PHI,DT,DNP,LIMITED,,IMPROVING,,,False
Jalen Coker,CAR,WR,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Jalen McMillan,TB,WR,FULL,FULL,LIMITED,DECLINING,Knee,Doubtful,False
James Houston,DAL,LB,LIMITED,FULL,,ARRIVING,,,True
James Thompson Jr.,SF,DT,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Hamstring,Questionable,False
James Williams,TEN,LB,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Jamien Sherwood,NYJ,LB,LIMITED,FULL,,ARRIVING,,,True
Jarvis Brownlee Jr.,NYJ,CB,FULL,FULL,,FULL_ALL_WEEK,,,True
Jauan Jennings,MIN,WR,DNP,DNP,,DNP_ALL_WEEK,,,False
Javon Hargrave,GB,DT,LIMITED,DNP,LIMITED,MIXED,,,False
Javon Kinlaw,WAS,DT,,DNP,FULL,ARRIVING,,,True
Jawaan Taylor,ATL,T,,DNP,FULL,ARRIVING,,,True
Jaylen Watson,LAR,CB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Jaylin Lane,WAS,WR,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Jaylinn Hawkins,BAL,S,FULL,FULL,,FULL_ALL_WEEK,,,True
